"practice_code","practice_name","icb_code","icb_name","region","list_size","survey_responses","imd_quintile","rural_urban","phone_difficult_n"
"VIF8525","Practice 774","Q29","NHS Somerset ICB","London",6640,143,2,"Urban",69
"QTW1927","Practice 775","Q90","NHS Cornwall ICB","London",11347,204,5,"Urban",68
"KWL8180","Practice 776","Q31","NHS Devon ICB","East",5085,30,3,"Urban",12
"ISB2856","Practice 777","Q97","NHS Devon ICB","North East",7203,131,3,"Rural",50
"RQR8367","Practice 778","Q68","NHS Devon ICB","East",6526,294,5,"Urban",125
"KSA1567","Practice 779","Q20","NHS Dorset ICB","North West",7274,222,4,"Rural",38
"SEM1161","Practice 780","Q97","NHS Cornwall ICB","North East",4387,97,3,"Rural",45
"AYF4358","Practice 781","Q77","NHS Somerset ICB","South East",3842,178,4,"Urban",36
"KDG6318","Practice 782","Q36","NHS Cornwall ICB","East",15353,286,3,"Urban",79
"QKU9545","Practice 783","Q69","NHS Dorset ICB","London",500,30,4,"Urban",15
"QTY5783","Practice 784","Q69","NHS Devon ICB","North East",9063,30,4,"Rural",11
"HXD1558","Practice 785","Q90","NHS Cornwall ICB","South East",7907,170,5,"Rural",49
"KMD6799","Practice 786","Q62","NHS Dorset ICB","North East",9744,216,5,"Rural",72
"RVA7525","Practice 787","Q56","NHS Somerset ICB","South West",7597,156,2,"Urban",30
"AYU8529","Practice 788","Q94","NHS Somerset ICB","South West",10019,276,5,"Urban",81
"WQU5455","Practice 789","Q43","NHS Somerset ICB","East",8226,245,4,"Urban",
"FKY1294","Practice 790","Q56","NHS Somerset ICB","North West",5913,104,3,"Urban",
"BMG2269","Practice 791","Q35","NHS Cornwall ICB","South West",10378,215,3,"Rural",62
"NED9722","Practice 792","Q22","NHS Somerset ICB","South East",12095,334,1,"Rural",117
"EAD5622","Practice 793","Q31","NHS Somerset ICB","Midlands",9186,268,5,"Urban",102
"AYK7745","Practice 794","Q29","NHS Devon ICB","South East",13419,155,2,"Urban",54
"YFX9091","Practice 795","Q68","NHS Somerset ICB","South East",12902,313,4,"Urban",
"WKN8003","Practice 796","Q29","NHS Somerset ICB","South East",11240,159,1,"Urban",49
"RFP2344","Practice 797","Q36","NHS Dorset ICB","North East",13866,199,3,"Rural",71
"DXR6681","Practice 798","Q90","NHS Cornwall ICB","North West",831,183,4,"Urban",66
"OEX9442","Practice 799","Q83","NHS Cornwall ICB","South West",11169,141,4,"Rural",36
"GCM6253","Practice 800","Q62","NHS Devon ICB","Midlands",6711,255,3,"Urban",143
"NUZ2783","Practice 801","Q62","NHS Devon ICB","North East",7189,61,3,"Urban",29
"JOC2438","Practice 802","Q68","NHS Cornwall ICB","North West",4965,205,4,"Rural",61
"CFE4296","Practice 803","Q20","NHS Dorset ICB","Midlands",10212,97,3,"Rural",48
"GBP7518","Practice 804","Q97","NHS Dorset ICB","North East",7346,370,2,"Urban",161
"EYH3448","Practice 805","Q20","NHS Dorset ICB","South West",6014,176,2,"Urban",90
"XJW4350","Practice 806","Q77","NHS Devon ICB","North East",4582,149,1,"Urban",52
"FDQ6384","Practice 807","Q35","NHS Dorset ICB","North West",9912,258,3,"Urban",88
"ESP4615","Practice 808","Q66","NHS Dorset ICB","North East",8983,118,1,"Urban",32
"UED1937","Practice 809","Q35","NHS Somerset ICB","East",12509,322,3,"Rural",139
"RML3107","Practice 810","Q35","NHS Somerset ICB","East",8907,143,5,"Urban",56
"IEP5279","Practice 811","Q20","NHS Dorset ICB","Midlands",8049,271,4,"Urban",78
"CJL1033","Practice 812","Q22","NHS Cornwall ICB","South West",11094,120,4,"Rural",44
"COP1228","Practice 813","Q77","NHS Devon ICB","Midlands",14005,157,3,"Rural",79
"IIT6481","Practice 814","Q35","NHS Devon ICB","North East",12194,242,1,"Urban",118
"MWF3505","Practice 815","Q62","NHS Dorset ICB","Midlands",10334,105,3,"Urban",42
"GGT2939","Practice 816","Q20","NHS Cornwall ICB","South West",7203,131,3,"Urban",57
"JUK5767","Practice 817","Q50","NHS Cornwall ICB","East",6955,30,4,"Urban",8
"QUQ3878","Practice 818","Q68","NHS Dorset ICB","North East",11212,163,2,"Urban",
"BFI5294","Practice 819","Q90","NHS Dorset ICB","Midlands",10398,128,5,"Rural",29
"TJZ3372","Practice 820","Q35","NHS Cornwall ICB","East",7762,214,5,"Urban",66
"QDU8794","Practice 821","Q66","NHS Cornwall ICB","East",8987,259,3,"Rural",96
"ZCW4540","Practice 822","Q94","NHS Dorset ICB","South West",4148,79,4,"Urban",39
"LFA4249","Practice 823","Q35","NHS Dorset ICB","South East",5942,197,3,"Rural",56
"XKT1639","Practice 824","Q43","NHS Cornwall ICB","South West",3419,168,2,"Urban",42
"XQN1543","Practice 825","Q89","NHS Somerset ICB","South East",11150,319,2,"Urban",185
"FMU1764","Practice 826","Q69","NHS Devon ICB","South East",5041,209,5,"Urban",61
"VSK3667","Practice 827","Q50","NHS Cornwall ICB","South West",10474,30,1,"Rural",9
"SKZ7807","Practice 828","Q83","NHS Dorset ICB","South East",754,38,1,"Urban",9
"JWN3421","Practice 829","Q92","NHS Somerset ICB","London",9927,97,3,"Urban",33
"PUV8701","Practice 830","Q83","NHS Devon ICB","London",6492,41,4,"Urban",8
"ADP6467","Practice 831","Q77","NHS Devon ICB","Midlands",6669,160,2,"Urban",32
"JYJ1722","Practice 832","Q43","NHS Devon ICB","South East",10731,186,3,"Urban",79
"GSV9283","Practice 833","Q94","NHS Devon ICB","South East",7816,30,1,"Rural",10
"YLB5758","Practice 834","Q22","NHS Cornwall ICB","Midlands",8842,62,3,"Urban",25
"XFO7722","Practice 835","Q20","NHS Cornwall ICB","East",2723,40,4,"Urban",22
"BVL1823","Practice 836","Q66","NHS Dorset ICB","North West",11795,148,4,"Rural",56
"DUM6498","Practice 837","Q68","NHS Somerset ICB","North West",2166,286,1,"Rural",107
"TBM2701","Practice 838","Q89","NHS Devon ICB","London",6033,66,4,"Urban",23
"HKC7450","Practice 839","Q29","NHS Cornwall ICB","North East",1620,188,4,"Urban",74
"OUK8032","Practice 840","Q94","NHS Dorset ICB","London",3590,136,3,"Urban",26
"NED5311","Practice 841","Q90","NHS Cornwall ICB","London",12394,249,4,"Urban",76
"QNQ9520","Practice 842","Q68","NHS Somerset ICB","London",4907,306,2,"Urban",79
"ZCY6843","Practice 843","Q62","NHS Somerset ICB","North West",10604,347,2,"Urban",105
"EUZ4743","Practice 844","Q90","NHS Cornwall ICB","North East",2967,181,4,"Urban",34
"QYO9420","Practice 845","Q66","NHS Cornwall ICB","South East",1160,245,3,"Rural",95
"QMJ1265","Practice 846","Q97","NHS Somerset ICB","South West",8958,114,4,"Rural",29
"PXA5213","Practice 847","Q97","NHS Cornwall ICB","East",5834,324,1,"Urban",91
"ZIM9029","Practice 848","Q69","NHS Somerset ICB","Midlands",11085,30,3,"Urban",11
"TFR1097","Practice 849","Q36","NHS Cornwall ICB","North East",10613,200,3,"Urban",64
"YLM1908","Practice 850","Q83","NHS Cornwall ICB","South West",6298,341,5,"Rural",109
"FUU6230","Practice 851","Q94","NHS Devon ICB","South West",7888,187,4,"Urban",48
"CVY9582","Practice 852","Q31","NHS Dorset ICB","South West",4813,149,1,"Rural",70
"NAV8910","Practice 853","Q83","NHS Somerset ICB","South West",500,251,1,"Rural",112
"IXS5581","Practice 854","Q43","NHS Dorset ICB","South West",6259,390,3,"Urban",117
"XKQ7956","Practice 855","Q29","NHS Dorset ICB","London",6121,286,2,"Rural",62
"LVX4262","Practice 856","Q22","NHS Cornwall ICB","Midlands",6210,192,5,"Urban",85
"WOA9418","Practice 857","Q77","NHS Devon ICB","South East",9979,229,3,"Urban",80
"IDB6306","Practice 858","Q83","NHS Dorset ICB","London",5851,338,1,"Urban",173
"XDU6468","Practice 859","Q31","NHS Somerset ICB","Midlands",500,170,5,"Urban",56
"NEP7792","Practice 860","Q31","NHS Dorset ICB","Midlands",6695,417,4,"Urban",159
"CCJ5209","Practice 861","Q90","NHS Dorset ICB","London",8168,285,3,"Rural",30
"DVB9287","Practice 862","Q68","NHS Dorset ICB","South West",9251,489,2,"Urban",123
"CEM8185","Practice 863","Q77","NHS Dorset ICB","North West",11568,152,5,"Urban",52
"GER4763","Practice 864","Q56","NHS Dorset ICB","North East",500,79,4,"Urban",16
"ARJ9434","Practice 865","Q92","NHS Dorset ICB","Midlands",7390,370,3,"Rural",143
"XLU8518","Practice 866","Q20","NHS Somerset ICB","London",8466,57,4,"Rural",22
"EYI1315","Practice 867","Q92","NHS Cornwall ICB","South West",1490,202,2,"Rural",69
"VZT9092","Practice 868","Q29","NHS Devon ICB","London",11521,159,2,"Urban",66
"DOU1705","Practice 869","Q29","NHS Dorset ICB","Midlands",12296,288,1,"Urban",144
"HUZ1007","Practice 870","Q20","NHS Dorset ICB","South East",8801,323,1,"Urban",124
"LPY6702","Practice 871","Q68","NHS Dorset ICB","South East",9014,165,1,"Urban",68
"LGU2205","Practice 872","Q43","NHS Somerset ICB","South West",2856,284,1,"Rural",120
"LWU4951","Practice 873","Q69","NHS Dorset ICB","South East",3050,183,2,"Urban",81
"OXO9739","Practice 874","Q56","NHS Devon ICB","Midlands",13477,344,3,"Urban",133
"IME1561","Practice 875","Q36","NHS Dorset ICB","North West",7283,229,3,"Rural",57
"XIP9090","Practice 876","Q36","NHS Somerset ICB","South West",8828,370,4,"Rural",75
"CCL5286","Practice 877","Q83","NHS Cornwall ICB","London",7869,233,5,"Urban",
"CGC6020","Practice 878","Q43","NHS Somerset ICB","South West",500,157,5,"Urban",51
"ZXO4548","Practice 879","Q68","NHS Devon ICB","East",7725,224,5,"Urban",46
"IVV1481","Practice 880","Q89","NHS Cornwall ICB","East",6685,296,2,"Rural",163
"GAR5230","Practice 881","Q50","NHS Devon ICB","North West",4436,172,2,"Rural",53
"WPR2871","Practice 882","Q29","NHS Somerset ICB","East",4265,351,4,"Rural",126
"LXW6518","Practice 883","Q62","NHS Devon ICB","East",8535,327,2,"Urban",92
"MXX7143","Practice 884","Q68","NHS Cornwall ICB","Midlands",6563,88,3,"Urban",29
"QMH8096","Practice 885","Q92","NHS Devon ICB","East",3956,214,3,"Urban",86
"OFG4716","Practice 886","Q83","NHS Dorset ICB","Midlands",9803,158,3,"Urban",62
"OUA3581","Practice 887","Q92","NHS Dorset ICB","East",7685,129,1,"Urban",53
"TTP8432","Practice 888","Q50","NHS Cornwall ICB","North East",9564,126,3,"Urban",51
"CMF3753","Practice 889","Q94","NHS Cornwall ICB","London",12779,199,1,"Urban",60
"MAS3131","Practice 890","Q56","NHS Devon ICB","North East",15900,164,4,"Urban",66
"SUN5150","Practice 891","Q36","NHS Devon ICB","East",10722,345,4,"Urban",162
"BOL3135","Practice 892","Q62","NHS Dorset ICB","Midlands",2869,253,3,"Rural",85
"VWA6136","Practice 893","Q94","NHS Cornwall ICB","London",7026,280,4,"Rural",105
"EKF3562","Practice 894","Q29","NHS Somerset ICB","South East",6182,240,1,"Urban",91
"IWC6337","Practice 895","Q31","NHS Devon ICB","North East",5503,59,1,"Rural",30
"RAM5520","Practice 896","Q66","NHS Somerset ICB","South East",5271,264,2,"Urban",121
"AJH3824","Practice 897","Q90","NHS Devon ICB","South East",4544,348,4,"Rural",140
"DSO6016","Practice 898","Q66","NHS Cornwall ICB","South West",6052,174,1,"Rural",50
"RBR9415","Practice 899","Q31","NHS Cornwall ICB","South West",7113,68,2,"Urban",14
"EVU6112","Practice 900","Q43","NHS Devon ICB","North West",6895,132,5,"Urban",42
"CKE7263","Practice 901","Q92","NHS Somerset ICB","South West",8973,309,5,"Urban",136
"JIP7204","Practice 902","Q43","NHS Dorset ICB","Midlands",7778,165,5,"Rural",32
"XNG4487","Practice 903","Q66","NHS Somerset ICB","South West",2255,175,2,"Urban",90
"YQT2449","Practice 904","Q56","NHS Dorset ICB","South West",12967,226,5,"Urban",61
"GBJ7618","Practice 905","Q89","NHS Dorset ICB","South West",3295,373,1,"Rural",148
"NDH9372","Practice 906","Q43","NHS Dorset ICB","London",11729,223,2,"Rural",62
"JHE6754","Practice 907","Q97","NHS Devon ICB","North West",11098,114,4,"Rural",34
"WQU6413","Practice 908","Q62","NHS Somerset ICB","North East",8850,146,3,"Urban",65
"JUL4860","Practice 909","Q89","NHS Somerset ICB","North East",4760,162,2,"Urban",61
"UAN1617","Practice 910","Q89","NHS Somerset ICB","London",5725,232,1,"Urban",92
"IDB2408","Practice 911","Q97","NHS Dorset ICB","London",6771,275,2,"Urban",86
"GYK7637","Practice 912","Q62","NHS Devon ICB","Midlands",7838,292,3,"Urban",140
"FAV1140","Practice 913","Q43","NHS Somerset ICB","South East",2881,190,3,"Urban",43
"TVZ2940","Practice 914","Q77","NHS Somerset ICB","North West",9380,253,4,"Urban",54
"HYI3104","Practice 915","Q43","NHS Dorset ICB","Midlands",9179,313,1,"Urban",139
"ZIJ7543","Practice 916","Q35","NHS Devon ICB","East",8018,278,2,"Urban",78
"XEO6722","Practice 917","Q92","NHS Devon ICB","South East",16442,272,1,"Urban",88
"EPK7493","Practice 918","Q35","NHS Cornwall ICB","Midlands",5842,241,5,"Urban",51
"ZYK1896","Practice 919","Q90","NHS Somerset ICB","East",2418,155,2,"Rural",
"SOM5706","Practice 920","Q56","NHS Somerset ICB","South East",8814,262,2,"Urban",102
"TMV8678","Practice 921","Q97","NHS Dorset ICB","North East",10843,116,3,"Urban",41
"KOE3615","Practice 922","Q50","NHS Somerset ICB","London",10338,124,5,"Urban",37
"QOR5109","Practice 923","Q36","NHS Devon ICB","South West",8471,230,3,"Urban",53
"GUS7209","Practice 924","Q62","NHS Cornwall ICB","London",6206,140,5,"Rural",32
"XBS7534","Practice 925","Q36","NHS Somerset ICB","North West",6372,349,1,"Rural",167
"JVX3701","Practice 926","Q77","NHS Cornwall ICB","East",1730,268,5,"Urban",86
"LWE4552","Practice 927","Q43","NHS Somerset ICB","East",4633,272,5,"Urban",111
"VYM9335","Practice 928","Q92","NHS Devon ICB","South West",7913,38,2,"Urban",15
"DBN8683","Practice 929","Q22","NHS Dorset ICB","North East",7061,224,1,"Rural",85
"TKH5686","Practice 930","Q94","NHS Devon ICB","East",6596,395,3,"Urban",125
"CHE4265","Practice 931","Q31","NHS Somerset ICB","Midlands",10185,213,3,"Urban",50
"ASS5637","Practice 932","Q36","NHS Dorset ICB","North West",9906,251,4,"Urban",91
"PTM2059","Practice 933","Q92","NHS Somerset ICB","Midlands",13443,375,4,"Urban",81
"ZOS8682","Practice 934","Q20","NHS Somerset ICB","London",15087,240,5,"Rural",97
"EDQ2518","Practice 935","Q31","NHS Dorset ICB","South West",4912,215,1,"Rural",69
"SDJ4876","Practice 936","Q20","NHS Cornwall ICB","East",8108,367,5,"Rural",97
"QDT7697","Practice 937","Q31","NHS Cornwall ICB","North West",1804,322,2,"Urban",111
"KYM9676","Practice 938","Q92","NHS Cornwall ICB","North West",8350,161,2,"Rural",66
"ART8379","Practice 939","Q22","NHS Dorset ICB","South West",3101,67,4,"Urban",21
"XKA5123","Practice 940","Q35","NHS Devon ICB","North West",500,329,3,"Urban",
"ATB1408","Practice 941","Q90","NHS Dorset ICB","North East",5601,297,5,"Urban",119
"RGS6627","Practice 942","Q68","NHS Cornwall ICB","North West",6925,141,5,"Rural",40
"CZR3231","Practice 943","Q43","NHS Somerset ICB","North East",11805,198,5,"Urban",75
"ESC6222","Practice 944","Q69","NHS Devon ICB","East",3264,199,4,"Urban",36
"GQZ9078","Practice 945","Q90","NHS Somerset ICB","South East",5263,279,1,"Rural",133
"FSE2354","Practice 946","Q92","NHS Somerset ICB","North West",8413,70,2,"Urban",30
"PXW8409","Practice 947","Q29","NHS Somerset ICB","South West",10389,324,1,"Rural",120
"MDL2290","Practice 948","Q77","NHS Cornwall ICB","East",3977,178,1,"Urban",59
"AXJ2468","Practice 949","Q83","NHS Cornwall ICB","South East",7169,264,5,"Urban",88
"XYS3569","Practice 950","Q50","NHS Dorset ICB","London",8028,473,4,"Rural",111
"SBO7653","Practice 951","Q68","NHS Somerset ICB","Midlands",10572,216,4,"Rural",72
"RFH5946","Practice 952","Q92","NHS Cornwall ICB","South East",6908,281,4,"Urban",126
"JKU3450","Practice 953","Q35","NHS Cornwall ICB","Midlands",1515,132,3,"Urban",62
"NCO8217","Practice 954","Q56","NHS Devon ICB","Midlands",7666,187,3,"Urban",78
"JTX4487","Practice 955","Q35","NHS Cornwall ICB","South East",12533,187,4,"Urban",50
"WSW4625","Practice 956","Q50","NHS Devon ICB","London",10070,148,5,"Urban",40
"BIX8101","Practice 957","Q43","NHS Somerset ICB","East",12668,167,1,"Urban",59
"POR6027","Practice 958","Q62","NHS Devon ICB","East",5807,270,2,"Urban",86
"IKJ7165","Practice 959","Q31","NHS Devon ICB","North East",8239,149,1,"Urban",72
"QZS6987","Practice 960","Q83","NHS Cornwall ICB","North East",8192,195,1,"Urban",76
"BZZ7799","Practice 961","Q83","NHS Cornwall ICB","East",7879,165,3,"Rural",85
"OHM5315","Practice 962","Q90","NHS Dorset ICB","Midlands",6792,56,3,"Urban",25
"WQJ4505","Practice 963","Q35","NHS Dorset ICB","East",8960,204,2,"Rural",100
"HEU2319","Practice 964","Q36","NHS Dorset ICB","South West",3996,173,1,"Rural",52
"CLF7268","Practice 965","Q83","NHS Devon ICB","London",500,221,4,"Urban",95
"BZW4568","Practice 966","Q92","NHS Somerset ICB","South East",14794,88,4,"Rural",30
"QTH7296","Practice 967","Q50","NHS Cornwall ICB","North West",3411,120,3,"Urban",50
"VCX4505","Practice 968","Q89","NHS Dorset ICB","North East",8506,230,3,"Urban",73
"CMA4444","Practice 969","Q92","NHS Cornwall ICB","South East",6124,290,2,"Urban",144
"KSQ3946","Practice 970","Q22","NHS Devon ICB","South East",8627,163,2,"Urban",62
"ZOQ1274","Practice 971","Q29","NHS Dorset ICB","South West",8164,356,1,"Urban",146
"EPG3489","Practice 972","Q62","NHS Dorset ICB","North West",6786,206,2,"Rural",57
"VWG4308","Practice 973","Q92","NHS Dorset ICB","North West",8849,124,5,"Urban",52
"AQQ5504","Practice 974","Q62","NHS Dorset ICB","East",8147,114,1,"Urban",45
"CVP3777","Practice 975","Q89","NHS Somerset ICB","North West",7561,136,2,"Urban",47
"NVO9382","Practice 976","Q62","NHS Dorset ICB","North West",5046,30,2,"Rural",8
"FNW8472","Practice 977","Q22","NHS Devon ICB","North East",4165,167,4,"Urban",69
"PYD1235","Practice 978","Q31","NHS Somerset ICB","London",11242,237,2,"Urban",78
"JMG5472","Practice 979","Q94","NHS Somerset ICB","Midlands",10406,158,4,"Rural",63
"HJF2723","Practice 980","Q69","NHS Devon ICB","North East",7157,103,1,"Urban",37
"WZU7053","Practice 981","Q66","NHS Devon ICB","North East",4850,290,4,"Urban",93
"VYO1490","Practice 982","Q50","NHS Dorset ICB","London",7869,30,1,"Urban",11
"IVM8870","Practice 983","Q69","NHS Devon ICB","South East",10551,105,1,"Urban",40
"CUQ8178","Practice 984","Q68","NHS Cornwall ICB","East",12367,185,3,"Rural",57
"BTV4349","Practice 985","Q66","NHS Devon ICB","North East",11925,76,5,"Urban",50
"FHA6466","Practice 986","Q20","NHS Devon ICB","London",3287,141,3,"Rural",38
"BQS5066","Practice 987","Q77","NHS Devon ICB","East",10313,214,2,"Urban",87
"PMW1382","Practice 988","Q90","NHS Dorset ICB","South West",9542,102,1,"Urban",27
"YWU6357","Practice 989","Q56","NHS Dorset ICB","North East",5343,117,2,"Urban",47
"IAM9655","Practice 990","Q20","NHS Somerset ICB","East",11050,344,3,"Urban",109
"EBR3883","Practice 991","Q83","NHS Somerset ICB","East",9491,182,1,"Urban",94
"QNV7540","Practice 992","Q68","NHS Somerset ICB","North West",14509,252,4,"Urban",73
"LKM7021","Practice 993","Q36","NHS Dorset ICB","East",1490,198,2,"Rural",71
"TYL9351","Practice 994","Q43","NHS Devon ICB","East",7422,231,3,"Urban",97
"DSD9006","Practice 995","Q89","NHS Devon ICB","South East",11618,328,2,"Urban",141
"FED5961","Practice 996","Q43","NHS Devon ICB","Midlands",2555,30,5,"Rural",10
"BZT5927","Practice 997","Q36","NHS Devon ICB","South West",11428,237,4,"Urban",57
"CPJ7144","Practice 998","Q43","NHS Cornwall ICB","North West",10224,355,4,"Rural",131
"REX6701","Practice 999","Q69","NHS Cornwall ICB","North East",11378,215,4,"Urban",84
"QTY2571","Practice 1000","Q22","NHS Somerset ICB","North West",8651,309,1,"Rural",101
"XKZ8312","Practice 1001","Q97","NHS Devon ICB","North West",2118,186,1,"Rural",32
"RXG3388","Practice 1002","Q69","NHS Dorset ICB","South West",7779,256,3,"Urban",43
"KDS9387","Practice 1003","Q77","NHS Cornwall ICB","London",9623,160,5,"Urban",54
"HJG8142","Practice 1004","Q92","NHS Somerset ICB","North West",10946,30,2,"Urban",13
"GYU8041","Practice 1005","Q29","NHS Devon ICB","North East",7602,418,3,"Urban",166
"UGE6980","Practice 1006","Q97","NHS Devon ICB","Midlands",15698,146,2,"Urban",67
"TFT6232","Practice 1007","Q50","NHS Dorset ICB","London",7789,103,5,"Urban",31
"VQK5767","Practice 1008","Q89","NHS Somerset ICB","South West",9326,330,2,"Urban",156
"WSQ5041","Practice 1009","Q62","NHS Devon ICB","South West",12747,307,3,"Rural",96
"XRP2156","Practice 1010","Q43","NHS Somerset ICB","South East",14041,103,3,"Rural",26
"AYG4540","Practice 1011","Q90","NHS Devon ICB","East",2103,201,3,"Rural",
"XCO1313","Practice 1012","Q66","NHS Devon ICB","East",4861,114,3,"Rural",42
"SKK4076","Practice 1013","Q68","NHS Devon ICB","South East",2456,154,3,"Urban",69
"PDT7926","Practice 1014","Q22","NHS Dorset ICB","East",9913,354,2,"Urban",135
"HCY8176","Practice 1015","Q83","NHS Cornwall ICB","South East",6853,334,5,"Urban",110
"TRI1063","Practice 1016","Q66","NHS Cornwall ICB","Midlands",9486,200,2,"Urban",93
"RPT1054","Practice 1017","Q77","NHS Somerset ICB","South West",10394,42,4,"Urban",14
"UUT5701","Practice 1018","Q20","NHS Somerset ICB","Midlands",9357,181,4,"Urban",53
"JZX5849","Practice 1019","Q89","NHS Devon ICB","South West",6197,281,2,"Urban",108
"JLL4043","Practice 1020","Q20","NHS Dorset ICB","North East",11414,360,4,"Rural",150
"SDN7403","Practice 1021","Q90","NHS Dorset ICB","East",8747,259,3,"Urban",108
"VWP4037","Practice 1022","Q94","NHS Dorset ICB","North West",8858,102,5,"Rural",23
"MBH8424","Practice 1023","Q35","NHS Somerset ICB","Midlands",9160,297,2,"Urban",88
"WHS4613","Practice 1024","Q77","NHS Dorset ICB","North East",10239,250,2,"Urban",97
"LQK7788","Practice 1025","Q22","NHS Somerset ICB","Midlands",8696,118,2,"Urban",30
"HUO6414","Practice 1026","Q50","NHS Devon ICB","South West",6383,146,5,"Urban",79
"UXX3136","Practice 1027","Q31","NHS Devon ICB","South West",4995,201,1,"Urban",79
"FLP7747","Practice 1028","Q97","NHS Cornwall ICB","North West",6378,68,4,"Urban",31
"VIY1630","Practice 1029","Q77","NHS Dorset ICB","London",14096,174,2,"Urban",53
"GLA4073","Practice 1030","Q69","NHS Somerset ICB","London",7504,252,2,"Urban",103
"GYC4787","Practice 1031","Q92","NHS Devon ICB","London",7812,178,2,"Urban",95
"EQT9853","Practice 1032","Q56","NHS Cornwall ICB","South West",6102,148,5,"Urban",37
"AHQ3789","Practice 1033","Q77","NHS Dorset ICB","South West",10434,356,2,"Urban",
"SBX6315","Practice 1034","Q50","NHS Somerset ICB","North East",5677,173,2,"Urban",54
"XKK9735","Practice 1035","Q22","NHS Somerset ICB","North West",10453,264,2,"Urban",93
"KWJ2628","Practice 1036","Q90","NHS Somerset ICB","North West",12119,284,2,"Urban",79
"BBI3828","Practice 1037","Q56","NHS Somerset ICB","North West",4578,30,2,"Urban",12
"RXJ3993","Practice 1038","Q97","NHS Devon ICB","North West",16875,150,1,"Urban",50
"WLZ3344","Practice 1039","Q56","NHS Somerset ICB","South West",7429,210,3,"Urban",
"JDU8636","Practice 1040","Q29","NHS Dorset ICB","Midlands",500,220,3,"Urban",70
"FTH8797","Practice 1041","Q20","NHS Devon ICB","East",8994,226,4,"Rural",86
"UXI2125","Practice 1042","Q62","NHS Cornwall ICB","South East",4638,112,4,"Urban",44
"DVB2390","Practice 1043","Q31","NHS Dorset ICB","Midlands",12098,101,3,"Urban",
"LDV4003","Practice 1044","Q22","NHS Devon ICB","Midlands",6032,30,2,"Urban",14
"UWY2737","Practice 1045","Q62","NHS Devon ICB","Midlands",12582,170,2,"Urban",77
"FBO1507","Practice 1046","Q94","NHS Cornwall ICB","South East",9669,178,1,"Urban",77
"QSL4291","Practice 1047","Q36","NHS Cornwall ICB","North West",5126,357,5,"Urban",103
"NBR7557","Practice 1048","Q94","NHS Devon ICB","Midlands",12341,219,2,"Urban",97
"ADT8492","Practice 1049","Q66","NHS Dorset ICB","East",9144,229,2,"Urban",70
"KYT8618","Practice 1050","Q97","NHS Cornwall ICB","Midlands",8660,252,4,"Urban",77
"XXO9308","Practice 1051","Q43","NHS Devon ICB","South East",3241,133,3,"Urban",59
"TTU8873","Practice 1052","Q36","NHS Cornwall ICB","East",6890,189,4,"Urban",75
"ZUX1681","Practice 1053","Q68","NHS Devon ICB","South West",14086,31,3,"Urban",10
"YHN2332","Practice 1054","Q69","NHS Dorset ICB","South West",6114,220,3,"Urban",83
"SMH5784","Practice 1055","Q69","NHS Devon ICB","South West",2819,290,3,"Urban",118
"XUI6772","Practice 1056","Q20","NHS Devon ICB","Midlands",4227,201,3,"Urban",80
"ECO2992","Practice 1057","Q83","NHS Cornwall ICB","Midlands",6008,240,1,"Urban",98
"CBJ3714","Practice 1058","Q77","NHS Devon ICB","London",2103,489,2,"Rural",216
"MOT3880","Practice 1059","Q31","NHS Somerset ICB","London",8190,337,5,"Urban",81
"SWN6159","Practice 1060","Q94","NHS Somerset ICB","London",11662,171,3,"Rural",51
"ULY7112","Practice 1061","Q56","NHS Devon ICB","London",6660,188,3,"Urban",62
"YGP2745","Practice 1062","Q94","NHS Somerset ICB","North East",10162,298,4,"Rural",109
"RRQ7832","Practice 1063","Q77","NHS Somerset ICB","South West",13131,258,3,"Urban",80
"TUI2873","Practice 1064","Q90","NHS Devon ICB","East",1167,42,3,"Urban",21
"NZL2832","Practice 1065","Q69","NHS Cornwall ICB","South West",19398,30,2,"Urban",16
"BHJ2023","Practice 1066","Q62","NHS Dorset ICB","South East",13754,376,5,"Urban",114
"AQD2226","Practice 1067","Q83","NHS Dorset ICB","South West",3463,213,2,"Urban",72
"VON6633","Practice 1068","Q31","NHS Cornwall ICB","South East",15690,183,3,"Urban",57
"VXO7185","Practice 1069","Q66","NHS Somerset ICB","South East",7335,199,3,"Urban",81
"NBZ7131","Practice 1070","Q20","NHS Dorset ICB","South West",5685,162,4,"Rural",51
"GQC5993","Practice 1071","Q97","NHS Cornwall ICB","North West",13345,361,1,"Urban",133
"OWG6468","Practice 1072","Q97","NHS Dorset ICB","Midlands",9386,220,3,"Urban",106
"WAR6465","Practice 1073","Q62","NHS Cornwall ICB","North East",5493,110,2,"Urban",40
"FLX3867","Practice 1074","Q29","NHS Somerset ICB","South West",7303,265,5,"Rural",103
"LJE8703","Practice 1075","Q56","NHS Cornwall ICB","East",7075,278,1,"Rural",103
"TUL1886","Practice 1076","Q89","NHS Cornwall ICB","North East",5869,132,2,"Urban",48
"KHY8393","Practice 1077","Q83","NHS Somerset ICB","Midlands",12642,228,1,"Urban",79
"JHL5258","Practice 1078","Q29","NHS Somerset ICB","East",6256,30,2,"Rural",19
"QGT2069","Practice 1079","Q68","NHS Cornwall ICB","North West",9673,248,4,"Rural",67
"YTF8593","Practice 1080","Q94","NHS Dorset ICB","Midlands",20251,448,5,"Rural",103
